WikiID,Type
Q1877884,Monument
Q1878948,Monument
Q1879920,Monument
Q1883431,Monument
Q1887012,Monument
Q1893618,Monument
Q191441,Monument
Q1916045,Monument
Q191938,Monument
Q1930175,Monument
Q1934670,Monument
Q1952424,Monument
Q1952787,Monument
Q1954226,Monument
Q1955435,Monument
Q1958231,Monument
Q1964983,Monument
Q1965932,Monument
Q1968348,Monument
Q1970857,Monument
Q1971854,Monument
Q1979320,Monument
Q1984155,Monument
Q1985588,Monument
Q1987294,Monument
Q1997245,Monument
Q1999259,Monument
Q2000846,Monument
Q2004326,Monument
Q2023741,Monument
Q2024954,Monument
Q2027162,Monument
Q2037255,Monument
Q203741,Monument
Q2037523,Monument
Q2037984,Monument
Q2041298,Monument
Q2042926,Monument
Q2046820,Monument
Q2046822,Monument
Q205136,Monument
Q2053265,Monument
Q205524,Monument
Q2055623,Monument
Q2056706,Monument
Q2058463,Monument
Q2059896,Monument
Q206258,Monument
Q2063737,Monument
Q2065740,Monument
Q2067794,Monument
Q2068527,Monument
Q2073372,Monument
Q2073408,Monument
Q207870,Monument
Q2081756,Monument
Q2081919,Monument
Q2083566,Monument
Q2086229,Monument
Q2098885,Monument
Q2109151,Monument
Q2110523,Monument
Q211250,Monument
Q211252,Monument
Q2115110,Monument
Q2117586,Monument
Q2121822,Monument
Q2121994,Monument
Q212625,Monument
Q212867,Monument
Q2132667,Monument
Q2136772,Monument
Q2142100,Monument
Q2142113,Monument
Q2148898,Monument
Q216185,Monument
Q2162157,Monument
Q2163496,Monument
Q2163750,Monument
Q2165207,Monument
Q2167317,Monument
Q2177261,Monument
Q2183690,Monument
Q2185489,Monument
Q218606,Monument
Q2188516,Monument
Q2188843,Monument
Q2193590,Monument
Q2196230,Monument
Q2198126,Monument
Q2202689,Monument
Q2203571,Monument
Q2211964,Monument
Q2219936,Monument
Q2220100,Monument
Q2220387,Monument
Q2220399,Monument
Q2220587,Monument
Q2223549,Monument
Q2223563,Monument
Q2223706,Monument
Q2224689,Monument
Q2235653,Monument
Q2235709,Monument
Q2235714,Monument
Q2235812,Monument
Q2241996,Monument
Q2254739,Monument
Q2256022,Monument
Q2274061,Monument
Q2275987,Monument
Q2281062,Monument
Q2283133,Monument
Q2283137,Monument
Q2283143,Monument
Q2293331,Monument
Q2293995,Monument
Q2294240,Monument
Q2299609,Monument
Q2304747,Monument
Q2316213,Monument
Q23180,Monument
Q231934,Monument
Q2323151,Monument
Q2332610,Monument
Q2339565,Monument
Q2341107,Monument
Q2344115,Monument
Q2360379,Monument
Q2362262,Monument
Q2363829,Monument
Q2364085,Monument
Q2374804,Monument
Q2377511,Monument
Q2380092,Monument
Q2383022,Monument
Q2389195,Monument
Q2402356,Monument
Q2402690,Monument
Q2406911,Monument
Q2419103,Monument
Q2419290,Monument
Q2420025,Monument
Q2420400,Monument
Q2421414,Monument
Q2432039,Monument
Q2436918,Monument
Q2443886,Monument
Q2444564,Monument
Q244947,Monument
Q245151,Monument
Q2459111,Monument
Q2459331,Monument
Q2462558,Monument
Q2467779,Monument
Q247327,Monument
Q2473884,Monument
Q2478458,Monument
Q2488372,Monument
Q2498995,Monument
Q2502213,Monument
Q2503255,Monument
Q250523,Monument
Q2509421,Monument
Q2511122,Monument
Q2511338,Monument
Q2511354,Monument
Q2511554,Monument
Q2511667,Monument
Q2513105,Monument
Q2534168,Monument
Q2542555,Monument
Q2547039,Monument
Q2547508,Monument
Q2549562,Monument
Q2554188,Monument
Q2554437,Monument
Q2556855,Monument
Q2558694,Monument
Q2559736,Monument
Q2561516,Monument
Q2564552,Monument
Q2573410,Monument
Q257513,Monument
Q2577054,Monument
Q2580841,Monument
Q2581799,Monument
Q2583106,Monument
Q2584017,Monument
Q2586363,Monument
Q2592297,Monument
Q2592315,Monument
Q2600768,Monument
Q2606632,Monument
Q260920,Monument
Q2610427,Monument
Q2627416,Monument
Q2627735,Monument
Q2628455,Monument
Q2633129,Monument
Q2636083,Monument
Q2639768,Monument
Q2649664,Monument
Q2657591,Monument
Q2660473,Monument
Q2662982,Monument
Q2664713,Monument
Q2665595,Monument
Q2669375,Monument
Q2676264,Monument
Q269470,Monument
Q2700171,Monument
Q2718385,Monument
Q2722123,Monument
Q2733427,Monument
Q2735094,Monument
Q2736564,Monument
Q2744847,Monument
Q2754389,Monument
Q2778629,Monument
Q2780005,Monument
Q2781266,Monument
Q2784982,Monument
Q2785009,Monument
Q2792024,Monument
Q2799368,Monument
Q280933,Monument
Q2817285,Monument
Q2832233,Monument
Q2835248,Monument
Q2835917,Monument
Q2835988,Monument
Q2836103,Monument
Q2837186,Monument
Q2838041,Monument
Q2838127,Monument
Q2838423,Monument
Q2838475,Monument
Q2838507,Monument
Q2839053,Monument
Q2839605,Monument
Q2839944,Monument
Q2840118,Monument
Q2842138,Monument
Q2843004,Monument
Q2843630,Monument
Q2845773,Monument
Q2845788,Monument
Q2855172,Monument
Q2868840,Monument
Q2868879,Monument
Q2875941,Monument
Q2877582,Monument
Q2877662,Monument
Q28781,Monument
Q2878508,Monument
Q2878575,Monument
Q2878704,Monument
Q2879245,Monument
Q2879744,Monument
Q2879910,Monument
Q2879923,Monument
Q2880408,Monument
Q2880713,Monument
Q2881838,Monument
Q2881966,Monument
Q2882441,Monument
Q2883293,Monument
Q2883740,Monument
Q2884262,Monument
Q2884288,Monument
Q2884514,Monument
Q2885477,Monument
Q2885585,Monument
Q2885991,Monument
Q2887569,Monument
Q2888428,Monument
Q2889179,Monument
Q2889253,Monument
Q2889404,Monument
Q2890224,Monument
Q2890339,Monument
Q2890383,Monument
Q2891789,Monument
Q2893081,Monument
Q2893544,Monument
Q2894059,Monument
Q2894697,Monument
Q2895463,Monument
Q2901761,Monument
Q2908614,Monument
Q2912655,Monument
Q2912886,Monument
Q2913846,Monument
Q2914792,Monument
Q2916105,Monument
Q2916449,Monument
Q2916616,Monument
Q2916681,Monument
Q2917471,Monument
Q2918089,Monument
Q2918581,Monument
Q2918703,Monument
Q2918942,Monument
Q2919732,Monument
Q2919889,Monument
Q2920806,Monument
Q2921427,Monument
Q2922444,Monument
Q2933633,Monument
Q2940781,Monument
Q2941519,Monument
Q2942405,Monument
Q2942449,Monument
Q2942496,Monument
Q2942521,Monument
Q2942524,Monument
Q2942573,Monument
Q2942581,Monument
Q2942592,Monument
Q2942608,Monument
Q2942630,Monument
Q2942635,Monument
Q2942638,Monument
Q2942639,Monument
Q2942648,Monument
Q2942653,Monument
Q2942676,Monument
Q2942680,Monument
Q2942688,Monument
Q2942708,Monument
Q2942729,Monument
Q2942804,Monument
Q2942814,Monument
Q2942824,Monument
Q2942840,Monument
Q2942864,Monument
Q2944148,Monument
Q2948482,Monument
Q2948773,Monument
Q2956550,Monument
Q2964915,Monument
Q2968465,Monument
Q2969065,Monument
Q2969574,Monument
Q2969912,Monument
Q2970221,Monument
Q2971081,Monument
Q2971437,Monument
Q2983085,Monument
Q2983985,Monument
Q2984297,Monument
Q2986978,Monument
Q2993456,Monument
Q3001641,Monument
Q3001648,Monument
Q3003316,Monument
Q3003353,Monument
Q3003583,Monument
Q3003654,Monument
Q3003691,Monument
Q3031817,Monument
Q3034186,Monument
Q3036438,Monument
Q3039321,Monument
Q3047420,Monument
Q305270,Monument
Q3053075,Monument
Q3054904,Monument
Q3055408,Monument
Q3066255,Monument
Q3073395,Monument
Q3076035,Monument
Q3083728,Monument
Q3087671,Monument
Q309426,Monument
Q3098851,Monument
Q3100116,Monument
Q310023,Monument
Q3111473,Monument
Q3111483,Monument
Q3112581,Monument
Q3127243,Monument
Q3139146,Monument
Q3159110,Monument
Q3176377,Monument
Q3180913,Monument
Q319059,Monument
Q3198233,Monument
Q31985,Monument
Q3201629,Monument
Q320440,Monument
Q320876,Monument
Q3211176,Monument
Q321252,Monument
Q3212722,Monument
Q322417,Monument
Q3250992,Monument
Q3276598,Monument
Q3276621,Monument
Q3276850,Monument
Q3276855,Monument
Q3276873,Monument
Q3278563,Monument
Q3280027,Monument
Q3283019,Monument
Q3283058,Monument
Q3284580,Monument
Q3285202,Monument
Q3303976,Monument
Q3321632,Monument
Q3321962,Monument
Q3323231,Monument
Q3323232,Monument
Q3323234,Monument
Q3323239,Monument
Q3323242,Monument
Q3323243,Monument
Q3323261,Monument
Q3323264,Monument
Q3323265,Monument
Q3323317,Monument
Q3323320,Monument
Q3323322,Monument
Q3323326,Monument
Q3323327,Monument
Q3323339,Monument
Q3323341,Monument
Q3323344,Monument
Q3323350,Monument
Q3323352,Monument
Q3323357,Monument
Q3323363,Monument
Q3323366,Monument
Q3323410,Monument
Q3323418,Monument
Q3323421,Monument
Q3324672,Monument
Q3326333,Monument
Q3326441,Monument
Q3326666,Monument
Q3327219,Monument
Q3327268,Monument
Q3327316,Monument
Q3327561,Monument
Q3327952,Monument
Q3328423,Monument
Q3329346,Monument
Q3329444,Monument
Q3329471,Monument
Q3333113,Monument
Q3333148,Monument
Q3333161,Monument
Q3333164,Monument
Q3333294,Monument
Q334742,Monument
Q3348555,Monument
Q3360949,Monument
Q3361046,Monument
Q336310,Monument
Q337179,Monument
Q3389524,Monument
Q3391291,Monument
Q3392505,Monument
Q3392543,Monument
Q3393690,Monument
Q3394183,Monument
Q3394342,Monument
Q3394452,Monument
Q3394492,Monument
Q3394501,Monument
Q3394519,Monument
Q339482,Monument
Q3394959,Monument
Q3394962,Monument
Q3395068,Monument
Q3395314,Monument
Q3395342,Monument
Q3395771,Monument
Q3396183,Monument
Q3396766,Monument
Q3397856,Monument
Q3397899,Monument
Q3398765,Monument
Q3399144,Monument
Q3399276,Monument
Q3402642,Monument
Q3406766,Monument
Q3406883,Monument
Q3412437,Monument
Q3412514,Monument
Q3428616,Monument
Q3431282,Monument
Q3437422,Monument
Q3441867,Monument
Q34485,Monument
Q34562,Monument
Q3462700,Monument
Q3471746,Monument
Q347224,Monument
Q3476533,Monument
Q3481460,Monument
Q3482539,Monument
Q348386,Monument
Q348387,Monument
Q3489276,Monument
Q3490678,Monument
Q3497588,Monument
Q3497600,Monument
Q3497617,Monument
Q3497632,Monument
Q3510699,Monument
Q3527937,Monument
Q3528328,Monument
Q3528750,Monument
Q3529509,Monument
Q3533275,Monument
Q3535264,Monument
Q3539754,Monument
Q3540493,Monument
Q3540881,Monument
Q3544302,Monument
Q3555769,Monument
Q3558012,Monument
Q3558939,Monument
Q3560239,Monument
Q3565234,Monument
Q3567521,Monument
Q3571157,Monument
Q3571663,Monument
Q3571711,Monument
Q3573250,Monument
Q3573289,Monument
Q3573923,Monument
Q3582357,Monument
Q3584901,Monument
Q358490,Monument
Q3585188,Monument
Q3585405,Monument
Q3585406,Monument
Q3585440,Monument
Q3585484,Monument
Q3604782,Monument
Q3604789,Monument
Q3604811,Monument
Q3635691,Monument
Q3639590,Monument
Q3649003,Monument
Q3661119,Monument
Q3661125,Monument
Q3663072,Monument
Q3663081,Monument
Q3663928,Monument
Q366395,Monument
Q366647,Monument
Q3669732,Monument
Q3671680,Monument
Q3671990,Monument
Q3683521,Monument
Q3683526,Monument
Q3689605,Monument
Q3695640,Monument
Q3697992,Monument
Q3698092,Monument
Q3699202,Monument
Q371063,Monument
Q3718507,Monument
Q371872,Monument
Q3730672,Monument
Q3732872,Monument
Q3738349,Monument
Q3739741,Monument
Q3739792,Monument
Q3747489,Monument
Q3750901,Monument
Q3752979,Monument
Q3754528,Monument
Q3754535,Monument
Q3755314,Monument
Q3755367,Monument
Q3755401,Monument
Q3756251,Monument
Q3756728,Monument
Q3770895,Monument
Q3772302,Monument
Q3773707,Monument
Q3774528,Monument
Q3780261,Monument
Q3784561,Monument
Q3785753,Monument
Q3798011,Monument
Q3798088,Monument
Q3809105,Monument
Q3811730,Monument
Q3813308,Monument
Q3813365,Monument
Q3813440,Monument
Q3813454,Monument
Q3813468,Monument
Q3813753,Monument
Q3814612,Monument
Q3816228,Monument
Q3816581,Monument
Q3817085,Monument
Q3817712,Monument
Q3817861,Monument
Q3819019,Monument
Q3821731,Monument
Q3821803,Monument
Q3823691,Monument
Q3823727,Monument
Q3826108,Monument
Q3826168,Monument
Q3827251,Monument
Q383659,Monument
Q383808,Monument
Q3845616,Monument
Q3848635,Monument
Q3848861,Monument
Q3849438,Monument
Q3852980,Monument
Q3854478,Monument
Q385577,Monument
Q3862602,Monument
Q3862604,Monument
Q3862605,Monument
Q3862606,Monument
Q3862608,Monument
Q3862613,Monument
Q3862614,Monument
Q3862619,Monument
Q3862624,Monument
Q3862627,Monument
Q3862632,Monument
Q3862634,Monument
Q3862638,Monument
Q3862639,Monument
Q3862642,Monument
Q3862645,Monument
Q3862649,Monument
Q3862651,Monument
Q3862652,Monument
Q3862657,Monument
Q3862664,Monument
Q3862666,Monument
Q3862667,Monument
Q3862669,Monument
Q3862670,Monument
Q3862682,Monument
Q3862736,Monument
Q388287,Monument
Q3887462,Monument
Q3887613,Monument
Q3888432,Monument
Q3890189,Monument
Q3890201,Monument
Q3891623,Monument
Q389210,Monument
Q389325,Monument
Q389366,Monument
Q3895533,Monument
Q3895574,Monument
Q3895888,Monument
