WikiID,Entity,Type
Q1300206,Monument to the X-ray and Radium Martyrs of All Nations,Monument
Q1300208,Ehrenmal der Sankt Marien-Gemeinde,Monument
Q1300211,Ehrenmal des Heeres in Koblenz,Monument
Q1300212,Ehrenmal des Infanterie-Regiments Nr. 29,Monument
Q1300219,Ehrenmal für die Gefallenen der Flakartillerie,Monument
Q1300222,Ehrenmal für die Gefallenen des Ersten Weltkrieges,Monument
Q1300632,Bildstock,Monument
Q1300957,Marian column,Monument
Q1301607,Eichendorff memorial,Monument
Q130534,El Clascar,Monument
Q1306725,Forstarbeiterdenkmal,Monument
Q1316662,Tanúhegy emlékmű,Monument
Q1317970,Monument to Johann Strauss II,Monument
Q1318506,Kaiser-Wilhelm-Denkmal,Monument
Q1321526,Monastery of Pedralbes,Monument
Q1321720,Monastery of Sant Jeroni de Cotalba,Monument
Q1322919,"Mozart Monument, Frankfurt",Monument
Q1323820,Sidrón Cave,Monument
Q1325228,Elberfelder Armenpflegedenkmal,Monument
Q1325545,"Turul Monument, Tiszabecs",Monument
Q1325633,Mansu Hill Grand Monument,Monument
Q1326237,Elephant of the Bastille,Monument
Q1333411,Victoria Memorial,Monument
Q1334029,Eltendenkmal,Monument
Q133495,Republikdenkmal,Monument
Q133575,Cave of Altamira,Monument
Q1343183,Winkelrieddenkmal,Monument
Q1345398,Our Lady of the Isles,Monument
Q1352282,National Archaeological Museum,Monument
Q1354033,Aljafería,Monument
Q1354762,Erinnerungsstätte für die Freiheitsbewegungen in der deutschen Geschichte,Monument
Q1355210,Erlach memorial,Monument
Q1355664,Erlkönig,Monument
Q1356996,Ernst-August-Denkmal,Monument
Q1357108,Ernst-Leuschner-Denkmal,Monument
Q1360347,Hunnestad Monument,Monument
Q1361548,Ourense Cathedral,Monument
Q1363616,"Horst Wessel monument in Bielefeld, Germany",Monument
Q1367606,Kalinin monument,Monument
Q1368571,Royal Palace of El Pardo,Monument
Q1373012,Weiberstein,Monument
Q1373448,Schwedenkreuz,Monument
Q1385350,Barbara-Denkmal,Monument
Q1385934,Cathedral of Santa Ana,Monument
Q1387914,Monastery of San Miguel de Eiré,Monument
Q1392190,Fahnenmonument in Halle,Monument
Q1393016,La Sirena varada,Monument
Q1397799,Fastnachtsbrunnen,Monument
Q1402296,Ávila Cathedral,Monument
Q1402785,Livingstone–Stanley Monument,Monument
Q1406766,"Liebenberg monument, Vienna",Monument
Q1407960,"Moritzmonument, Dresden",Monument
Q1413182,Novystein,Monument
Q142565,Santa Maria de Lara,Monument
Q1426406,Universal Post Monument,Monument
Q1426779,Martyrs' Day,Monument
Q1427281,Gerhart-Hauptmann-Gedenkstein,Monument
Q1427304,Königin-Victoria-Denkmal,Monument
Q1440761,Luisentempel,Monument
Q1442165,Fountain of Wealth,Monument
Q1450424,Residencia de Estudiantes,Monument
Q1451968,Museo de la Naturaleza y el Hombre,Monument
Q1454323,Statua antropofica,Monument
Q1454545,Freiligrath memorial,Monument
Q1454573,Masonic Temple of Santa Cruz de Tenerife,Monument
Q1456740,Friedensglocke,Monument
Q1457593,Heimkehrerdenkmal,Monument
Q1457790,Friedrich-Koenig-Denkmal,Monument
Q1457809,Friedrich-Ludwig-Jahn-Denkmal,Monument
Q146009,Jam Gadang,Monument
Q1465413,Fritz Reuter Memorial,Monument
Q14681,Sunken Ships Monument,Monument
Q1471421,Frédéric Chopin monument in Żelazowa Wola,Monument
Q1472798,Fountain of Neptune,Monument
Q1479106,Lessing-Denkmal,Monument
Q1496875,Palace of los Ríos y Salcedo,Monument
Q1497510,Gedenkstein für die Erhebung Schleswig-Holsteins,Monument
Q1497557,Monument to the Victorious Fatherland Liberation War,Monument
Q1499912,Segovia Cathedral,Monument
Q1506827,Monasterio de Santa María de Aciveiro,Monument
Q1506850,Monfero Abbey,Monument
Q1514142,Germaniadenkmal in Dresden,Monument
Q1517058,Monastery of San Salvador de Celanova,Monument
Q1521515,Ghega monument,Monument
Q1529642,Glaskubus,Monument
Q1530714,Monastery of Sant Joan de les Abadesses,Monument
Q153101,Magtymguly monument,Monument
Q1534095,Goethe Monument,Monument
Q1534099,Goethe monument in Rome,Monument
Q1534172,Goethe fountain in Aš,Monument
Q1534177,"Goethe monument, Vienna",Monument
Q1534288,"Cathedral of San Salvador, Oviedo",Monument
Q153525,Monument to the Soviet Army,Monument
Q1536479,Golgotha of the Beskids,Monument
Q1538554,Ich-Denkmal,Monument
Q1538713,Weserstein,Monument
Q1540402,Monastery of Santa María de Sandoval,Monument
Q1540732,Royal Palace of La Granja de San Ildefonso,Monument
Q1540926,"Tomb of the Unknown Soldier, Warsaw",Monument
Q1541300,Graecostasis,Monument
Q1541854,Grafschaftsdenkmal,Monument
Q1542538,Marienborn Neuss,Monument
Q1545312,Santa María de Melque,Monument
Q1546860,Grimme-Denkmal,Monument
Q1547160,Vittoriale degli italiani,Monument
Q154775,Tsitsernakaberd,Monument
Q1548579,"Türkenbefreiungsdenkmal in St. Stephen's Cathedral, Vienna",Monument
Q1548845,Santiago de Peñalba,Monument
Q1549185,Großes Militärwaisenhaus,Monument
Q1549866,Salvation Mountain,Monument
Q1552535,Monastery of Carracedo,Monument
Q1553695,Castillo de Sax,Monument
Q155443,Hospital de los Reyes Católicos,Monument
Q1554599,"Horst Wessel monument in Mainz, Germany",Monument
Q1555458,Gustav Adolf Memorial,Monument
Q1555490,Gustav Landauer Memorial,Monument
Q1555495,Gustav-Selve-Denkmal,Monument
Q1557143,Gutenberg memorial,Monument
Q1557145,"Gutenberg monument, Frankfurt",Monument
Q1561555,Plaza Mayor,Monument
Q1568236,König-Albert-Denkmal,Monument
Q1568502,Hagendenkmal,Monument
Q1570099,Church of Santa María,Monument
Q1570113,Church of San Pedro de Nora,Monument
Q1575647,Catedral de Santa María de Tuy,Monument
Q1577575,Strassburger Monument,Monument
Q1577816,Arcos de Guadalajara,Monument
Q1579766,Los Millares,Monument
Q1581475,National Sculpture Museum,Monument
Q1581868,Los Alas Chapel,Monument
Q1582758,Iglesia Catedral de la Encarnación,Monument
Q1584990,Santa María de Obarra,Monument
Q1587850,Pomertstein,Monument
Q1589509,Santa Eulàlia d'Erill la Vall,Monument
Q1590785,Torre mudéjar de la Alcudia,Monument
Q1594216,Heidentor,Monument
Q1595816,Heimkehrerstein,Monument
Q159615,Santes Creus,Monument
Q1601986,The Motherland Calls,Monument
Q1603055,Real Monasterio de Nuestra Señora de Benifasar,Monument
Q1603187,Johann Gerhard Helmcke (Friedrich Adolf Sötebier),Monument
Q1609022,Collegiate Church of Santa Juliana,Monument
Q1614027,Marceau-Denkmal,Monument
Q1615789,Hessendenkmal,Monument
Q1619084,Palais Longchamp,Monument
Q1627991,Co-cathedral of Santa María de la Redonda,Monument
Q1629090,Horst Wessel monument in Lower Saxony,Monument
Q1630272,Museu Frederic Marès,Monument
Q1635369,Mask of Sorrow,Monument
Q1639016,Mother Albania,Monument
Q1642613,Inselmühle Norderney,Monument
Q1647048,Fountain of Apollo,Monument
Q1656914,Friendship Tower,Monument
Q1663650,Kriegerehrenmal,Monument
Q1667909,Mariensäule,Monument
Q1668372,Werndl-Denkmal,Monument
Q1671661,Invalidensäule,Monument
Q1679911,Santa Cruz de Cangas de Onís,Monument
Q1683191,Monument to Prince Józef Poniatowski in Warsaw,Monument
Q1690505,Luisendenkmal (Gransee),Monument
Q1692367,Vater Rhein und seine Töchter,Monument
Q1696230,San Juan de Ulúa,Monument
Q1700342,"Church of Santa Catalina, Tacoronte",Monument
Q1705485,Kriegerehrenmal,Monument
Q1706629,Stalin Monument,Monument
Q1707327,Joseph Jenkins Roberts Monument,Monument
Q1707711,Nuestra Señora de Los Dolores (Tinajo),Monument
Q1710641,Martin fountain,Monument
Q171517,Royal Palace of Madrid,Monument
Q1716812,Jüdisches Heldendenkmal,Monument
Q1718074,Kriegerdenkmal,Monument
Q1718380,Maxmonument,Monument
Q1721550,Kaiser-Wilhelm-Denkmal,Monument
Q1721556,"Kaiser-Wilhelm-Denkmal, Hamburg",Monument
Q1721649,Kaiserin-Augusta-Denkmal in Koblenz,Monument
Q1721746,Kaiserstein,Monument
Q1723373,Obelisk,Monument
Q1725740,Monastery of Irache,Monument
Q1730097,Karl-Marx-Monument,Monument
Q1730098,Karl Marx monument,Monument
Q1738829,Sant Pere de Casserres,Monument
Q1747799,Megalithic Monuments of Alcalar,Monument
Q1748884,Soldiers' and Sailors' Monument,Monument
Q1750466,Valiants Memorial,Monument
Q1753584,Tropaion,Monument
Q1753664,Descent of the Ganges,Monument
Q1764037,Parthian Monument,Monument
Q1771696,Charminar,Monument
Q1772000,Kongreßdenkmal,Monument
Q1775095,Monastery of Santa María de Bujedo,Monument
Q1775481,Monasterio Cisterciense de la Espina,Monument
Q1775661,Monastery of Santa María de Melón,Monument
Q1775673,Monasterio de Monsalud,Monument
Q1775768,Royal Monastery of Santa María de Oya,Monument
Q1776206,Monasterio de Santa María de Valdeiglesias,Monument
Q1776209,Monasterio de Santa María de Valdediós,Monument
Q1776246,Monasterio de Santa María de Villanueva de Oscos,Monument
Q1777292,Chauburji,Monument
Q1779597,Kolonialdenkmal,Monument
Q1783863,Monument to Karel Kopal in Znojmo,Monument
Q1785563,Liebigdenkmal,Monument
Q1785776,Kozlowski-Denkmal,Monument
Q1786431,Petagas War Memorial,Monument
Q178743,stele,Monument
Q1788605,Kriegerdenkmal,Monument
Q1788638,Turkish Soldiers monument in Beersheba,Monument
Q1788654,Reichenhain war memorial,Monument
Q1788661,Kriegerdenkmal in Düsseldorf-Stadtmitte,Monument
Q1788705,War Memorial,Monument
Q1790758,Bauer Palace,Monument
Q1795200,Monument to Friedrich Schiller in Kaliningrad,Monument
Q1798216,Virreina Palace,Monument
Q1800280,Monastery of Holy Mary of Buenafuente del Sistal,Monument
Q1800823,Constitution Defense Monument,Monument
Q1801159,William Pryer Monument,Monument
Q1802159,Landesdenkmal für die Befreiungskrieger 1813–1815 (Güstrow),Monument
Q1804084,The Monument of Virgin Mary in Mary's Square,Monument
Q1806478,Ciudad Mitad del Mundo,Monument
Q1806715,Last POW Camp Memorial,Monument
Q1812874,San Miguel de Lillo,Monument
Q1813664,Leibgrenadierdenkmal,Monument
Q1815135,Palau Reial de Pedralbes,Monument
Q1817739,Lenindenkmal,Monument
Q1819999,Leopoldsäule,Monument
Q1820909,Lessing Monument,Monument
Q1823963,Liebig Museum,Monument
Q1826864,Co-cathedral of Santa María de la Fuente la Mayor,Monument
Q1849031,Cybele Palace,Monument
Q1862973,Isabel  metepollas queee,Monument
Q1864957,Franz-Liszt-Denkmal,Monument
Q1873754,Lucy the Elephant,Monument
Q187531,Monument to Minin and Pozharsky,Monument
Q1876534,"De Naald, Apeldoorn",Monument
Q1877872,Lutherdenkmal,Monument
Q1877873,Luther memorial Erfurt,Monument
Q1877877,Luther statue,Monument
Q1877879,Lutherdenkmal Magdeburg,Monument
Q1877883,Lutherdenkmal,Monument
Q1877884,Luther monument Worms,Monument
Q1878948,Castillo de San José,Monument
Q1879920,Löwendenkmal,Monument
Q1883431,Madonna der Meere,Monument
Q1887012,Obelisk,Monument
Q1893618,Pink Triangle Park,Monument
